date,overall_aqi_value,main_pollutant,site_name_of_overall_aqi,site_id_of_overall_aqi,source_of_overall_aqi,co,ozone,pm25,no2
2020-01-01,35,NO2,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,34,20,35
2020-01-02,49,NO2,MCMILLAN  NCore-PAMS,11-001-0043,AQS,16,25,43,49
2020-01-03,30,PM2.5,Near Road,11-001-0051,AQS,7,22,30,26
2020-01-04,32,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,26,32,21
2020-01-05,32,NO2,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,31,14,32
2020-01-06,32,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,32,21,31
2020-01-07,45,NO2,MCMILLAN  NCore-PAMS,11-001-0043,AQS,13,20,32,45
2020-01-08,33,Ozone,Takoma Rec Center,11-001-0050,AQS,5,33,22,29
2020-01-09,30,NO2,RIVER TERRACE,11-001-0041,AQS,6,22,22,30
2020-01-10,34,NO2,Takoma Rec Center,11-001-0050,AQS,6,23,25,34
2020-01-11,31,PM2.5,Near Road,11-001-0051,AQS,7,31,31,24
2020-01-12,34,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,34,10,15
2020-01-13,34,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AQS,11,9,34,25
2020-01-14,43,PM2.5,Near Road,11-001-0051,AQS,11,8,43,35
2020-01-15,41,PM2.5,Near Road,11-001-0051,AQS,6,17,41,25
2020-01-16,33,Ozone,Takoma Rec Center,11-001-0050,AQS,6,33,20,15
2020-01-17,33,Ozone,Takoma Rec Center,11-001-0050,AQS,5,33,15,33
2020-01-18,29,NO2,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,27,26,29
2020-01-19,31,Ozone,Takoma Rec Center,11-001-0050,AQS,3,31,20,19
2020-01-20,38,Ozone,Takoma Rec Center,11-001-0050,AQS,2,38,21,25
2020-01-21,38,Ozone,Takoma Rec Center,11-001-0050,AQS,3,38,18,25
2020-01-22,42,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,8,29,42,42
2020-01-23,63,PM2.5,Near Road,11-001-0051,AQS,14,12,63,51
2020-01-24,50,PM2.5,Near Road,11-001-0051,AQS,8,34,50,39
2020-01-25,32,Ozone,Takoma Rec Center,11-001-0050,AQS,3,32,13,23
2020-01-26,29,NO2,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,27,12,29
2020-01-27,31,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,31,24,30
2020-01-28,31,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,31,19,13
2020-01-29,34,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,34,21,34
2020-01-30,37,NO2,Near Road,11-001-0051,AQS,8,25,35,37
2020-01-31,51,NO2,Near Road,11-001-0051,AQS,8,20,44,51
2020-02-01,62,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,13,19,62,34
2020-02-02,36,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,7,29,36,36
2020-02-03,49,NO2,RIVER TERRACE,11-001-0041,AQS,10,27,32,49
2020-02-04,38,NO2,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,19,37,38
2020-02-05,32,PM2.5,RIVER TERRACE,11-001-0041,AQS,8,24,32,30
2020-02-06,25,NO2,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,17,21,25
2020-02-07,31,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,31,9,21
2020-02-08,38,NO2,Takoma Rec Center,11-001-0050,AQS,7,35,17,38
2020-02-09,37,NO2,Takoma Rec Center,11-001-0050,AQS,10,35,30,37
2020-02-10,28,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,28,28,17
2020-02-11,31,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,5,31,31,29
2020-02-12,34,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,5,27,34,22
2020-02-13,31,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,31,18,21
2020-02-14,32,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,32,14,20
2020-02-15,32,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,32,20,29
2020-02-16,36,NO2,Takoma Rec Center,11-001-0050,AQS,8,28,35,36
2020-02-17,49,PM2.5,Near Road,11-001-0051,AQS,10,32,49,40
2020-02-18,45,PM2.5,Near Road,11-001-0051,AQS,8,32,45,40
2020-02-19,35,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,35,20,28
2020-02-20,36,NO2,RIVER TERRACE,11-001-0041,AQS,6,32,30,36
2020-02-21,42,NO2,Takoma Rec Center,11-001-0050,AQS,7,36,20,42
2020-02-22,42,NO2,Takoma Rec Center,11-001-0050,AQS,10,38,31,42
2020-02-23,51,PM2.5,RIVER TERRACE,11-001-0041,AQS,15,41,51,48
2020-02-24,53,NO2,RIVER TERRACE,11-001-0041,AQS,10,33,51,53
2020-02-25,37,PM2.5,Near Road,11-001-0051,AQS,6,26,37,27
2020-02-26,35,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,28,35,22
2020-02-27,36,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,36,13,12
2020-02-28,35,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,35,22,21
2020-02-29,38,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,38,23,20
2020-03-01,40,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,40,25,40
2020-03-02,45,Ozone,Takoma Rec Center,11-001-0050,AQS,7,45,40,39
2020-03-03,38,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,38,33,36
2020-03-04,40,Ozone,Takoma Rec Center,11-001-0050,AQS,6,40,13,34
2020-03-05,34,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,34,26,34
2020-03-06,38,NO2,RIVER TERRACE,11-001-0041,AQS,6,33,33,38
2020-03-07,39,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,39,13,17
2020-03-08,42,Ozone,Takoma Rec Center,11-001-0050,AQS,6,42,27,29
2020-03-09,41,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,41,28,38
2020-03-10,36,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,36,31,25
2020-03-11,33,NO2,Takoma Rec Center,11-001-0050,AQS,5,28,24,33
2020-03-12,34,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,34,32,31
2020-03-13,43,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,43,23,17
2020-03-14,41,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,41,16,11
2020-03-15,35,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,35,27,29
2020-03-16,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,11,42,28,35
2020-03-17,33,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,33,26,25
2020-03-18,36,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,36,25,30
2020-03-19,49,PM2.5,Near Road,11-001-0051,AQS,5,31,49,22
2020-03-20,44,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,5,36,44,22
2020-03-21,35,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,35,18,6
2020-03-22,40,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,40,23,7
2020-03-23,33,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,33,17,17
2020-03-24,34,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,34,20,22
2020-03-25,31,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,31,17,16
2020-03-26,37,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,37,31,24
2020-03-27,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,44,24,25
2020-03-28,38,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,38,30,21
2020-03-29,35,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,5,27,35,11
2020-03-30,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,44,27,17
2020-03-31,34,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,34,14,18
2020-04-01,35,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,35,19,15
2020-04-02,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,44,15,18
2020-04-03,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,44,12,13
2020-04-04,31,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,31,10,11
2020-04-05,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,42,25,22
2020-04-06,47,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,47,33,32
2020-04-07,45,PM2.5,Near Road,11-001-0051,AQS,7,41,45,30
2020-04-08,47,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,47,27,26
2020-04-09,46,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,46,26,26
2020-04-10,41,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,41,15,8
2020-04-11,45,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,45,30,36
2020-04-12,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,10,44,39,28
2020-04-13,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,42,14,14
2020-04-14,43,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,43,16,11
2020-04-15,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,44,21,25
2020-04-16,45,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,45,25,30
2020-04-17,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,44,39,38
2020-04-18,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,44,31,28
2020-04-19,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,44,31,34
2020-04-20,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,42,38,28
2020-04-21,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,44,25,23
2020-04-22,45,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,45,17,10
2020-04-23,35,NO2,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,34,29,35
2020-04-24,32,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,32,15,19
2020-04-25,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,42,24,20
2020-04-26,34,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,34,12,9
2020-04-27,37,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,37,10,26
2020-04-28,31,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,31,25,27
2020-04-29,47,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,47,35,25
2020-04-30,41,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,41,17,19
2020-05-01,36,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,36,11,19
2020-05-02,45,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,45,19,13
2020-05-03,41,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,41,37,13
2020-05-04,43,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,43,15,8
2020-05-05,34,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,34,18,17
2020-05-06,34,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,34,17,19
2020-05-07,48,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,48,17,31
2020-05-08,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,44,23,31
2020-05-09,36,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,36,13,20
2020-05-10,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,44,20,21
2020-05-11,34,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,34,14,25
2020-05-12,43,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,43,14,28
2020-05-13,51,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,51,36,30
2020-05-14,49,PM2.5,Near Road,11-001-0051,AQS,6,43,49,25
2020-05-15,48,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,48,46,16
2020-05-16,48,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,48,31,19
2020-05-17,37,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,37,24,9
2020-05-18,38,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,38,28,16
2020-05-19,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,42,29,23
2020-05-20,36,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,36,28,16
2020-05-21,38,PM2.5,Near Road,11-001-0051,AQS,8,37,38,15
2020-05-22,41,PM2.5,Near Road,11-001-0051,AQS,8,31,41,14
2020-05-23,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,42,40,25
2020-05-24,30,PM2.5,Near Road,11-001-0051,AQS,10,29,30,10
2020-05-25,39,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,10,39,28,20
2020-05-26,36,PM2.5,Near Road,11-001-0051,AQS,11,34,36,18
2020-05-27,30,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,30,25,11
2020-05-28,27,PM2.5,Near Road,11-001-0051,AQS,8,20,27,6
2020-05-29,45,PM2.5,Near Road,11-001-0051,AQS,8,36,45,7
2020-05-30,48,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,48,28,11
2020-05-31,40,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,40,34,6
2020-06-01,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,44,30,18
2020-06-02,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,44,36,24
2020-06-03,91,PM2.5,Near Road,11-001-0051,AQS,10,74,91,29
2020-06-04,74,Ozone,Takoma Rec Center,11-001-0050,AQS,9,74,56,30
2020-06-05,40,Ozone,Takoma Rec Center,11-001-0050,AQS,8,40,35,17
2020-06-06,54,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,54,40,19
2020-06-07,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,44,28,25
2020-06-08,50,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,11,50,34,23
2020-06-09,67,Ozone,Takoma Rec Center,11-001-0050,AQS,9,67,59,27
2020-06-10,53,PM2.5,Near Road,11-001-0051,AQS,9,34,53,12
2020-06-11,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,42,35,16
2020-06-12,61,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,61,24,11
2020-06-13,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,44,19,19
2020-06-14,46,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,46,24,19
2020-06-15,44,Ozone,Takoma Rec Center,11-001-0050,AQS,8,44,42,14
2020-06-16,44,Ozone,Takoma Rec Center,11-001-0050,AQS,7,44,30,15
2020-06-17,25,PM2.5,Near Road,11-001-0051,AQS,7,23,25,14
2020-06-18,35,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,35,27,23
2020-06-19,40,PM2.5,Near Road,11-001-0051,AQS,5,34,40,19
2020-06-20,33,PM2.5,Near Road,11-001-0051,AQS,6,31,33,14
2020-06-21,38,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,38,33,10
2020-06-22,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,44,40,17
2020-06-23,45,PM2.5,Near Road,11-001-0051,AQS,5,45,45,19
2020-06-24,51,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,51,25,18
2020-06-25,50,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,50,38,26
2020-06-26,64,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,64,33,20
2020-06-27,53,PM2.5,Near Road,11-001-0051,AQS,7,45,53,20
2020-06-28,43,PM2.5,Near Road,11-001-0051,AQS,8,38,43,15
2020-06-29,43,PM2.5,Near Road,11-001-0051,AQS,6,40,43,27
2020-06-30,46,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,46,39,24
2020-07-01,51,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,51,41,23
2020-07-02,46,PM2.5,Near Road,11-001-0051,AQS,7,44,46,25
2020-07-03,55,PM2.5,RIVER TERRACE,11-001-0041,AQS,6,48,55,23
2020-07-04,166,PM2.5,Near Road,11-001-0051,AQS,8,45,166,29
2020-07-05,66,PM2.5,Near Road,11-001-0051,AQS,8,45,66,13
2020-07-06,55,PM2.5,Near Road,11-001-0051,AQS,5,48,55,16
2020-07-07,53,PM2.5,Near Road,11-001-0051,AQS,5,50,53,18
2020-07-08,52,PM2.5,Near Road,11-001-0051,AQS,5,42,52,16
2020-07-09,36,PM2.5,Near Road,11-001-0051,AQS,5,33,36,17
2020-07-10,31,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,31,22,18
2020-07-11,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,44,26,12
2020-07-12,46,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,46,29,22
2020-07-13,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,44,36,19
2020-07-14,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,44,28,27
2020-07-15,77,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,77,43,21
2020-07-16,41,PM2.5,Near Road,11-001-0051,AQS,5,41,41,17
2020-07-17,54,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,54,49,19
2020-07-18,87,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,87,46,18
2020-07-19,61,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,61,54,22
2020-07-20,49,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,49,46,20
2020-07-21,100,Ozone,Takoma Rec Center,11-001-0050,AQS,5,100,40,22
2020-07-22,50,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,50,46,15
2020-07-23,67,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,67,33,23
2020-07-24,43,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,43,30,18
2020-07-25,64,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,64,38,13
2020-07-26,51,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,51,50,20
2020-07-27,54,PM2.5,Near Road,11-001-0051,AQS,7,50,54,21
2020-07-28,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,42,33,18
2020-07-29,84,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,84,31,33
2020-07-30,77,Ozone,Takoma Rec Center,11-001-0050,AQS,6,77,40,17
2020-07-31,38,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,38,29,14
2020-08-01,46,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,46,38,11
2020-08-02,48,PM2.5,Near Road,11-001-0051,AQS,7,34,48,8
2020-08-03,48,Ozone,Takoma Rec Center,11-001-0050,AQS,6,48,24,15
2020-08-04,31,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,31,21,18
2020-08-05,51,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,51,38,19
2020-08-06,47,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,47,40,23
2020-08-07,40,Ozone,Takoma Rec Center,11-001-0050,AQS,5,40,25,18
2020-08-08,47,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,47,27,20
2020-08-09,43,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,43,38,16
2020-08-10,58,Ozone,Takoma Rec Center,11-001-0050,AQS,6,58,53,33
2020-08-11,56,PM2.5,Near Road,11-001-0051,AQS,6,45,56,23
2020-08-12,50,Ozone,Takoma Rec Center,11-001-0050,AQS,6,50,43,25
2020-08-13,41,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,41,33,20
2020-08-14,40,PM2.5,Near Road,11-001-0051,AQS,3,40,40,12
2020-08-15,52,PM2.5,Near Road,11-001-0051,AQS,5,34,52,15
2020-08-16,31,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,31,27,16
2020-08-17,41,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,41,38,21
2020-08-18,46,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,46,36,25
2020-08-19,43,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,43,33,21
2020-08-20,49,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,49,37,24
2020-08-21,44,Ozone,Takoma Rec Center,11-001-0050,AQS,6,44,41,22
2020-08-22,36,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,36,33,20
2020-08-23,43,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,43,26,15
2020-08-24,44,Ozone,Takoma Rec Center,11-001-0050,AQS,5,44,38,18
2020-08-25,49,PM2.5,Near Road,11-001-0051,AQS,5,46,49,18
2020-08-26,40,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,40,32,10
2020-08-27,37,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,36,37,15
2020-08-28,46,PM2.5,Near Road,11-001-0051,AQS,3,33,46,15
2020-08-29,31,Ozone,RIVER TERRACE,11-001-0041,AQS,3,31,27,9
2020-08-30,37,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,37,22,24
2020-08-31,32,PM2.5,Near Road,11-001-0051,AQS,8,26,32,23
2020-09-01,30,PM2.5,Near Road,11-001-0051,AQS,6,29,30,21
2020-09-02,39,PM2.5,Near Road,11-001-0051,AQS,5,32,39,17
2020-09-03,43,PM2.5,Near Road,11-001-0051,AQS,6,36,43,17
2020-09-04,43,PM2.5,Near Road,11-001-0051,AQS,5,39,43,18
2020-09-05,43,Ozone,RIVER TERRACE,11-001-0041,AQS,6,43,24,24
2020-09-06,46,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,46,33,22
2020-09-07,48,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,48,27,19
2020-09-08,37,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,37,33,22
2020-09-09,33,PM2.5,Near Road,11-001-0051,AQS,5,23,33,16
2020-09-10,17,PM2.5,Near Road,11-001-0051,AQS,3,15,17,13
2020-09-11,35,PM2.5,Near Road,11-001-0051,AQS,6,30,35,15
2020-09-12,28,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,28,25,11
2020-09-13,35,Ozone,Takoma Rec Center,11-001-0050,AQS,7,35,29,17
2020-09-14,32,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,32,21,11
2020-09-15,26,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,26,21,21
2020-09-16,32,PM2.5,Near Road,11-001-0051,AQS,7,32,32,25
2020-09-17,43,PM2.5,Near Road,11-001-0051,AQS,6,21,43,25
2020-09-18,39,PM2.5,Near Road,11-001-0051,AQS,3,31,39,13
2020-09-19,32,Ozone,RIVER TERRACE,11-001-0041,AQS,8,32,28,21
2020-09-20,34,PM2.5,RIVER TERRACE,11-001-0041,AQS,9,33,34,17
2020-09-21,35,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,35,30,26
2020-09-22,43,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,10,43,36,35
2020-09-23,54,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,54,34,35
2020-09-24,49,PM2.5,Near Road,11-001-0051,AQS,8,30,49,34
2020-09-25,46,PM2.5,Near Road,11-001-0051,AQS,8,30,46,19
2020-09-26,28,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,28,22,12
2020-09-27,26,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,26,21,12
2020-09-28,35,PM2.5,Near Road,11-001-0051,AQS,7,28,35,12
2020-09-29,26,Ozone,Takoma Rec Center,11-001-0050,AQS,3,26,25,10
2020-09-30,30,Ozone,RIVER TERRACE,11-001-0041,AQS,5,30,15,17
2020-10-01,32,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,32,22,16
