date,overall_aqi_value,main_pollutant,site_name_of_overall_aqi,site_id_of_overall_aqi,source_of_overall_aqi,co,ozone,pm25,no2
2021-07-11,52,PM2.5,Near Road,11-001-0051,AQS,7,40,52,12
2021-07-12,51,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,5,38,51,12
2021-07-13,49,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,5,39,49,13
2021-07-14,48,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,48,40,18
2021-07-15,77,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,77,61,18
2021-07-16,67,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,67,54,26
2021-07-17,57,PM2.5,Near Road,11-001-0051,AQS,6,45,57,20
2021-07-18,40,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,40,38,19
2021-07-19,71,PM2.5,Near Road,11-001-0051,AQS,6,45,71,20
2021-07-20,88,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,6,71,88,24
2021-07-21,91,PM2.5,Near Road,11-001-0051,AQS,6,67,91,25
2021-07-22,69,PM2.5,RIVER TERRACE,11-001-0041,AQS,7,38,69,31
2021-07-23,48,PM2.5,Near Road,11-001-0051,AQS,8,42,48,29
2021-07-24,53,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,50,53,25
2021-07-25,63,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,6,44,63,14
2021-07-26,87,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,87,58,26
2021-07-27,101,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,101,61,35
2021-07-28,112,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,112,63,35
2021-07-29,69,PM2.5,Near Road,11-001-0051,AQS,6,61,69,27
2021-07-30,59,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,6,58,59,20
2021-07-31,45,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,45,37,15
2021-08-01,62,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,6,44,62,10
2021-08-02,56,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,6,43,56,29
2021-08-03,51,PM2.5,Near Road,11-001-0051,AQS,8,44,51,29
2021-08-04,51,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,51,47,34
2021-08-05,90,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,90,54,32
2021-08-06,77,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,77,54,27
2021-08-07,45,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,6,41,45,21
2021-08-08,67,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,67,38,14
2021-08-09,55,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,5,49,55,17
2021-08-10,63,PM2.5,Near Road,11-001-0051,AQS,5,50,63,20
2021-08-11,47,PM2.5,Near Road,11-001-0051,AQS,6,44,47,24
2021-08-12,49,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,49,47,19
2021-08-13,49,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,49,46,20
2021-08-14,44,PM2.5,Near Road,11-001-0051,AQS,5,44,44,18
2021-08-15,47,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,47,35,21
2021-08-16,44,PM2.5,Near Road,11-001-0051,AQS,6,31,44,27
2021-08-17,35,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,5,24,35,18
2021-08-18,32,PM2.5,Near Road,11-001-0051,AQS,5,20,32,10
2021-08-19,35,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,35,28,17
2021-08-20,38,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,38,27,23
2021-08-21,45,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,45,36,24
2021-08-22,42,PM2.5,Near Road,11-001-0051,AQS,8,40,42,24
2021-08-23,56,PM2.5,Near Road,11-001-0051,AQS,6,46,56,26
2021-08-24,74,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,74,57,35
2021-08-25,122,Ozone,Takoma Rec Center,11-001-0050,AQS,10,122,64,32
2021-08-26,67,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,67,57,35
2021-08-27,55,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,11,45,55,24
2021-08-28,58,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,58,54,13
2021-08-29,53,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,7,47,53,18
2021-08-30,46,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,7,44,46,22
2021-08-31,48,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,8,46,48,23
2021-09-01,40,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,8,35,40,22
2021-09-02,36,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,36,25,29
2021-09-03,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,42,26,27
2021-09-04,43,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,10,43,34,22
2021-09-05,46,PM2.5,Near Road,11-001-0051,AQS,7,36,46,19
2021-09-06,45,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,45,36,31
2021-09-07,51,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,51,39,24
2021-09-08,51,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,7,45,51,21
2021-09-09,40,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,40,33,17
2021-09-10,36,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,36,30,27
2021-09-11,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,11,42,38,22
2021-09-12,43,Ozone,Takoma Rec Center,11-001-0050,AQS,7,43,42,15
2021-09-13,59,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,8,45,59,34
2021-09-14,69,PM2.5,Near Road,11-001-0051,AQS,13,64,69,28
2021-09-15,54,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,6,49,54,24
2021-09-16,43,PM2.5,Near Road,11-001-0051,AQS,6,30,43,25
2021-09-17,37,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,6,29,37,17
2021-09-18,54,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,8,42,54,28
2021-09-19,43,PM2.5,Near Road,11-001-0051,AQS,13,42,43,26
2021-09-20,35,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,35,33,23
2021-09-21,29,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,29,26,18
2021-09-22,31,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,31,31,22
2021-09-23,36,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,36,22,11
2021-09-24,40,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,40,28,33
2021-09-25,43,PM2.5,Near Road,11-001-0051,AQS,13,43,43,27
2021-09-26,39,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,39,26,27
2021-09-27,42,Ozone,Takoma Rec Center,11-001-0050,AQS,7,42,28,25
2021-09-28,54,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,42,54,25
2021-09-29,33,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,33,22,30
2021-09-30,38,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,38,26,24
2021-10-01,31,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,31,26,31
2021-10-02,52,PM2.5,Near Road,11-001-0051,AQS,10,45,52,27
2021-10-03,58,PM2.5,Near Road,11-001-0051,AQS,10,43,58,25
2021-10-04,40,PM2.5,Near Road,11-001-0051,AQS,6,35,40,21
2021-10-05,51,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,6,30,51,18
2021-10-06,30,PM2.5,Near Road,11-001-0051,AQS,6,24,30,18
2021-10-07,34,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,34,26,26
2021-10-08,40,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,8,39,40,31
2021-10-09,36,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,36,33,15
2021-10-10,31,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,5,27,31,7
2021-10-11,27,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,5,25,27,14
2021-10-12,27,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,27,25,18
2021-10-13,40,PM2.5,Near Road,11-001-0051,AQS,9,28,40,25
2021-10-14,42,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,9,41,42,36
2021-10-15,52,PM2.5,Near Road,11-001-0051,AQS,11,36,52,25
2021-10-16,38,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,6,34,38,20
2021-10-17,32,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,32,24,8
2021-10-18,39,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,39,22,30
2021-10-19,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,42,37,35
2021-10-20,49,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,49,35,39
2021-10-21,46,PM2.5,Near Road,11-001-0051,AQS,10,41,46,33
2021-10-22,32,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,32,27,18
2021-10-23,27,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,27,23,15
2021-10-24,34,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,34,24,14
2021-10-25,41,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,41,37,15
2021-10-26,26,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,26,13,8
2021-10-27,29,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,29,15,19
2021-10-28,30,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,30,27,22
2021-10-29,31,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,31,16,17
2021-10-30,26,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,6,23,26,17
2021-10-31,26,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,26,18,16
2021-11-01,35,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,35,22,29
2021-11-02,32,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,11,25,32,25
2021-11-03,30,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,30,23,25
2021-11-04,28,PM2.5,RIVER TERRACE,11-001-0041,AQS,9,23,28,28
2021-11-05,38,PM2.5,RIVER TERRACE,11-001-0041,AQS,10,33,38,32
2021-11-06,52,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,14,32,52,30
2021-11-07,45,PM2.5,RIVER TERRACE,11-001-0041,AQS,8,37,45,33
2021-11-08,46,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,13,40,46,42
2021-11-09,52,PM2.5,Near Road,11-001-0051,AQS,15,33,52,46
2021-11-10,58,PM2.5,Near Road,11-001-0051,AQS,15,45,58,47
2021-11-11,54,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,14,44,54,31
2021-11-12,35,NO2,Takoma Rec Center,11-001-0050,AQS,11,33,28,35
2021-11-13,34,PM2.5,Near Road,11-001-0051,AQS,15,24,34,26
2021-11-14,23,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,21,23,22
2021-11-15,26,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,26,13,21
2021-11-16,30,NO2,MCMILLAN  NCore-PAMS,11-001-0043,AQS,10,28,26,30
2021-11-17,61,PM2.5,Near Road,11-001-0051,AQS,13,27,61,39
2021-11-18,49,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,39,49,31
2021-11-19,30,NO2,Near Road,11-001-0051,AQS,3,28,18,30
2021-11-20,32,PM2.5,Near Road,11-001-0051,AQS,8,25,32,27
2021-11-21,42,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,23,42,22
2021-11-22,47,NO2,Near Road,11-001-0051,AQS,5,29,32,47
2021-11-23,29,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,29,20,25
2021-11-24,42,PM2.5,Near Road,11-001-0051,AQS,9,27,42,36
2021-11-25,59,PM2.5,Near Road,11-001-0051,AQS,10,24,59,33
2021-11-26,34,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,10,28,34,29
2021-11-27,32,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,32,20,27
2021-11-28,35,PM2.5,Near Road,11-001-0051,AQS,7,29,35,26
2021-11-29,29,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,29,21,28
2021-11-30,51,PM2.5,Near Road,11-001-0051,AQS,15,20,51,36
2021-12-01,61,PM2.5,Near Road,11-001-0051,AQS,20,25,61,37
2021-12-02,45,PM2.5,Near Road,11-001-0051,AQS,5,32,45,30
2021-12-03,32,NO2,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,28,23,32
2021-12-04,43,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,13,27,43,34
2021-12-05,50,PM2.5,Near Road,11-001-0051,AQS,17,31,50,31
2021-12-06,47,PM2.5,Near Road,11-001-0051,AQS,6,31,47,32
2021-12-07,35,NO2,Near Road,11-001-0051,AQS,7,30,24,35
2021-12-08,38,PM2.5,Near Road,11-001-0051,AQS,8,27,38,33
2021-12-09,45,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,7,24,45,42
2021-12-10,55,PM2.5,Near Road,11-001-0051,AQS,6,20,55,27
2021-12-11,45,PM2.5,Near Road,11-001-0051,AQS,6,29,45,21
2021-12-12,33,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,33,21,33
2021-12-13,40,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AQS,14,13,40,36
2021-12-14,54,PM2.5,Near Road,11-001-0051,AQS,19,23,54,45
2021-12-15,52,PM2.5,Near Road,11-001-0051,AQS,10,20,52,32
2021-12-16,34,PM2.5,Near Road,11-001-0051,AQS,9,31,34,24
2021-12-17,33,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,33,29,27
2021-12-18,40,PM2.5,Near Road,11-001-0051,AQS,7,25,40,26
2021-12-19,29,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,29,13,10
2021-12-20,32,NO2,Takoma Rec Center,11-001-0050,AQS,8,27,24,32
2021-12-21,46,PM2.5,Near Road,11-001-0051,AQS,9,14,46,40
2021-12-22,45,PM2.5,Near Road,11-001-0051,AQS,5,30,45,25
2021-12-23,40,PM2.5,Near Road,11-001-0051,AQS,7,28,40,31
2021-12-24,37,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,21,37,30
2021-12-25,34,PM2.5,Near Road,11-001-0051,AQS,7,31,34,28
2021-12-26,31,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,31,20,22
2021-12-27,38,PM2.5,Near Road,11-001-0051,AQS,6,22,38,27
2021-12-28,41,PM2.5,Near Road,11-001-0051,AQS,7,20,41,36
2021-12-29,52,PM2.5,Near Road,11-001-0051,AQS,7,14,52,26
2021-12-30,49,PM2.5,Near Road,11-001-0051,AQS,6,12,49,25
2021-12-31,33,PM2.5,Near Road,11-001-0051,AQS,6,18,33,20
2022-01-01,50,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,6,9,50,16
2022-01-02,25,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,25,17,21
2022-01-03,33,NO2,Near Road,11-001-0051,AQS,5,28,28,33
2022-01-04,44,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,8,26,44,35
2022-01-05,48,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,6,19,48,31
2022-01-06,45,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,7,27,45,35
2022-01-07,41,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,5,29,41,18
2022-01-08,46,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,6,28,46,25
2022-01-09,51,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,7,31,51,26
2022-01-10,35,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,35,23,18
2022-01-11,31,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,31,26,30
2022-01-12,42,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,13,25,42,40
2022-01-13,66,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,18,9,66,53
2022-01-14,62,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,7,27,62,35
2022-01-15,31,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,31,25,24
2022-01-16,39,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,5,26,39,30
2022-01-17,34,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,34,25,22
2022-01-18,40,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,9,31,40,40
2022-01-19,42,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,13,30,42,36
2022-01-20,38,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,6,30,38,33
2022-01-21,35,NO2,RIVER TERRACE,11-001-0041,AQS,3,30,28,35
2022-01-22,40,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,6,32,40,38
2022-01-23,52,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,8,30,52,36
2022-01-24,57,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,7,26,57,35
2022-01-25,49,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,8,31,49,40
2022-01-26,42,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,3,36,42,39
2022-01-27,63,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,8,31,63,42
2022-01-28,68,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,7,24,68,40
2022-01-29,37,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,37,24,20
2022-01-30,33,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,33,26,22
2022-01-31,56,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,6,32,56,42
2022-02-01,62,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,7,31,62,42
2022-02-02,65,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,8,26,65,41
2022-02-03,45,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,8,31,45,33
2022-02-04,28,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,28,21,14
2022-02-05,33,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,33,29,19
2022-02-06,35,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,6,34,35,33
2022-02-07,57,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,6,23,57,37
2022-02-08,54,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,8,38,54,38
2022-02-09,52,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,13,35,52,43
2022-02-10,42,NO2,RIVER TERRACE,11-001-0041,AQS,11,37,32,42
2022-02-11,47,NO2,RIVER TERRACE,11-001-0041,AQS,15,43,45,47
2022-02-12,40,Ozone,RIVER TERRACE,11-001-0041,AQS,3,40,38,25
2022-02-13,44,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,3,28,44,21
2022-02-14,45,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,3,34,45,25
2022-02-15,57,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,6,30,57,42
2022-02-16,54,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,6,35,54,48
2022-02-17,36,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,36,35,18
2022-02-18,37,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,37,19,17
2022-02-19,38,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,38,28,36
2022-02-20,37,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,37,25,35
2022-02-21,38,Ozone,RIVER TERRACE,11-001-0041,AQS,6,38,34,37
2022-02-22,41,NO2,RIVER TERRACE,11-001-0041,AQS,8,32,38,41
2022-02-23,35,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,35,29,12
2022-02-24,40,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,5,23,40,17
2022-02-25,28,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,28,27,18
2022-02-26,53,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,7,35,53,26
2022-02-27,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,44,40,31
2022-02-28,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,44,39,25
2022-03-01,47,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,9,36,47,45
2022-03-02,50,NO2,RIVER TERRACE,11-001-0041,AQS,10,41,44,50
2022-03-03,41,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,41,21,24
2022-03-04,36,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,36,29,29
2022-03-05,43,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,43,36,29
2022-03-06,60,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,7,39,60,31
2022-03-07,36,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,5,34,36,11
2022-03-08,40,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,40,22,14
2022-03-09,34,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,34,26,20
2022-03-10,51,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,7,37,51,39
2022-03-11,51,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,9,43,51,38
2022-03-12,41,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,41,28,12
2022-03-13,40,NO2,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,39,25,40
2022-03-14,45,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,11,45,28,39
2022-03-15,48,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,48,39,43
2022-03-16,53,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,14,51,53,48
2022-03-17,62,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,7,32,62,25
2022-03-18,54,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,11,42,54,28
2022-03-19,38,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,5,38,38,12
2022-03-20,37,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,37,9,4
2022-03-21,46,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,46,25,38
2022-03-22,49,PM2.5,Near Road,11-001-0051,AQS,11,44,49,37
2022-03-23,32,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,5,32,32,24
2022-03-24,49,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,5,16,49,24
2022-03-25,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,42,39,23
2022-03-26,38,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,38,11,14
2022-03-27,33,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,33,12,4
2022-03-28,38,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,38,18,15
2022-03-29,42,NO2,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,40,27,42
2022-03-30,56,NO2,MCMILLAN  NCore-PAMS,11-001-0043,AQS,13,42,47,56
2022-03-31,45,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,5,40,45,17
2022-04-01,37,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,37,17,8
2022-04-02,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,42,27,16
2022-04-03,41,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,41,26,16
2022-04-04,49,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,6,43,49,33
2022-04-05,48,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,6,33,48,31
2022-04-06,37,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,37,20,21
2022-04-07,35,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,35,16,25
