date,overall_aqi_value,main_pollutant,site_name_of_overall_aqi,site_id_of_overall_aqi,source_of_overall_aqi,co,ozone,pm25,no2
2022-04-08,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,42,24,30
2022-04-09,34,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,34,13,25
2022-04-10,38,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,38,21,38
2022-04-11,40,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,10,40,31,37
2022-04-12,43,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,43,27,35
2022-04-13,52,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,7,47,52,32
2022-04-14,41,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,41,36,15
2022-04-15,49,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,49,19,32
2022-04-16,49,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,49,27,22
2022-04-17,38,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,38,20,11
2022-04-18,26,NO2,Near Road,11-001-0051,AQS,5,25,14,26
2022-04-19,34,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,34,19,13
2022-04-20,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,42,21,30
2022-04-21,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,42,33,35
2022-04-22,51,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,51,42,35
2022-04-23,58,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,58,43,30
2022-04-24,67,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,67,48,17
2022-04-25,51,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,3,41,51,18
2022-04-26,50,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,5,34,50,16
2022-04-27,39,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,39,30,8
2022-04-28,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,42,20,9
2022-04-29,49,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,49,31,42
2022-04-30,49,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,11,49,38,36
2022-05-01,43,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,6,41,43,22
2022-05-02,61,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,61,50,42
2022-05-03,55,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,6,35,55,39
2022-05-04,43,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,6,33,43,23
2022-05-05,31,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,31,28,19
2022-05-06,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,42,28,18
2022-05-07,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,42,8,14
2022-05-08,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,44,26,31
2022-05-09,58,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,58,35,42
2022-05-10,67,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,67,28,37
2022-05-11,48,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,48,44,39
2022-05-12,34,PM2.5,Near Road,11-001-0051,AQS,6,32,34,32
2022-05-13,28,PM2.5,Near Road,11-001-0051,AQS,6,20,28,17
2022-05-14,24,PM2.5,Near Road,11-001-0051,AQS,6,20,24,12
2022-05-15,40,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,40,28,18
2022-05-16,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,44,32,32
2022-05-17,67,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,67,28,34
2022-05-18,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,44,22,21
2022-05-19,49,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,49,40,38
2022-05-20,71,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,10,71,64,32
2022-05-21,74,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,74,58,23
2022-05-22,48,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,6,44,48,13
2022-05-23,38,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,38,23,10
2022-05-24,30,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,30,23,23
2022-05-25,33,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,33,25,18
2022-05-26,31,PM2.5,Near Road,11-001-0051,AQS,5,26,31,19
2022-05-27,35,PM2.5,Near Road,11-001-0051,AQS,5,31,35,18
2022-05-28,37,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,37,22,13
2022-05-29,51,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,51,36,25
2022-05-30,54,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,54,49,17
2022-05-31,58,PM2.5,Near Road,11-001-0051,AQS,6,58,58,37
2022-06-01,57,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,8,51,57,30
2022-06-02,57,PM2.5,Near Road,11-001-0051,AQS,6,50,57,23
2022-06-03,47,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,47,30,38
2022-06-04,84,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,10,84,56,42
2022-06-05,54,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,10,54,45,37
2022-06-06,54,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,54,48,27
2022-06-07,48,PM2.5,Near Road,11-001-0051,AQS,6,44,48,21
2022-06-08,77,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,77,64,18
2022-06-09,51,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,51,30,10
2022-06-10,49,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,49,36,27
2022-06-11,45,PM2.5,Near Road,11-001-0051,AQS,6,34,45,22
2022-06-12,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,44,41,22
2022-06-13,53,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,6,51,53,28
2022-06-14,57,PM2.5,Near Road,11-001-0051,AQS,7,44,57,25
2022-06-15,122,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,122,58,27
2022-06-16,48,PM2.5,Near Road,11-001-0051,AQS,6,40,48,21
2022-06-17,71,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,71,43,21
2022-06-18,41,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,41,22,22
2022-06-19,41,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,41,22,9
2022-06-20,54,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,54,31,31
2022-06-21,74,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,74,46,32
2022-06-22,105,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,105,60,28
2022-06-23,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,42,28,24
2022-06-24,87,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,87,44,24
2022-06-25,54,PM2.5,Near Road,11-001-0051,AQS,6,50,54,28
2022-06-26,45,PM2.5,Near Road,11-001-0051,AQS,5,44,45,15
2022-06-27,48,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,6,42,48,13
2022-06-28,49,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,49,28,33
2022-06-29,67,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,67,50,30
2022-06-30,115,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,115,60,24
2022-07-01,56,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,6,50,56,21
2022-07-02,41,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,41,37,14
2022-07-03,57,PM2.5,Near Road,11-001-0051,AQS,5,50,57,29
2022-07-04,128,PM2.5,RIVER TERRACE,11-001-0041,AQS,8,67,128,25
2022-07-05,62,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,6,39,62,22
2022-07-06,49,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,49,38,22
2022-07-07,61,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,61,38,21
2022-07-08,51,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,51,36,17
2022-07-09,40,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,40,30,17
2022-07-10,45,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,45,40,19
2022-07-11,84,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,84,42,19
2022-07-12,45,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,45,34,16
2022-07-13,74,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,74,42,28
2022-07-14,58,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,58,41,37
2022-07-15,84,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,84,50,31
2022-07-16,50,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,50,46,17
2022-07-17,46,PM2.5,Near Road,11-001-0051,AQS,6,40,46,15
2022-07-18,40,PM2.5,Near Road,11-001-0051,AQS,6,35,40,19
2022-07-19,54,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,54,39,23
2022-07-20,77,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,77,50,21
2022-07-21,53,PM2.5,Near Road,11-001-0051,AQS,7,49,53,29
2022-07-22,74,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,74,55,31
2022-07-23,80,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,80,55,21
2022-07-24,71,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,71,48,18
2022-07-25,43,PM2.5,Near Road,11-001-0051,AQS,6,42,43,15
2022-07-26,43,PM2.5,Near Road,11-001-0051,AQS,6,33,43,25
2022-07-27,51,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,51,45,22
2022-07-28,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,42,32,27
2022-07-29,45,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,45,43,23
2022-07-30,46,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,46,33,25
2022-07-31,44,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,9,44,44,24
2022-08-01,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,42,30,16
2022-08-02,47,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,47,38,18
2022-08-03,77,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,77,39,25
2022-08-04,77,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,77,51,20
2022-08-05,67,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,67,41,24
2022-08-06,34,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,34,30,12
2022-08-07,29,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,29,25,10
2022-08-08,38,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,7,38,38,20
2022-08-09,43,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,43,34,18
2022-08-10,45,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,45,35,20
2022-08-11,50,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,50,29,13
2022-08-12,36,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,36,25,30
2022-08-13,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,44,22,26
2022-08-14,46,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,46,28,22
2022-08-15,37,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,37,33,22
2022-08-16,50,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,50,30,25
2022-08-17,48,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,48,38,25
2022-08-18,51,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,51,33,36
2022-08-19,45,PM2.5,Near Road,11-001-0051,AQS,8,45,45,25
2022-08-20,45,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,45,35,19
2022-08-21,32,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,32,23,10
2022-08-22,37,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,37,35,20
2022-08-23,45,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,45,32,30
2022-08-24,50,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,50,42,35
2022-08-25,56,PM2.5,Near Road,11-001-0051,AQS,9,47,56,29
2022-08-26,58,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,58,54,28
2022-08-27,61,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,10,61,53,30
2022-08-28,56,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,11,47,56,27
2022-08-29,45,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,45,36,17
2022-08-30,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,44,30,13
2022-08-31,41,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,41,34,22
2022-09-01,41,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,41,32,31
2022-09-02,47,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,10,47,38,25
2022-09-03,46,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,46,32,21
2022-09-04,45,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,45,39,15
2022-09-05,34,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,5,33,34,18
2022-09-06,32,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,32,24,13
2022-09-07,24,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,24,23,16
2022-09-08,37,PM2.5,Near Road,11-001-0051,AQS,9,34,37,30
2022-09-09,51,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,11,51,40,32
2022-09-10,39,PM2.5,Near Road,11-001-0051,AQS,7,31,39,20
2022-09-11,28,PM2.5,Near Road,11-001-0051,AQS,7,22,28,10
2022-09-12,30,PM2.5,Near Road,11-001-0051,AQS,6,25,30,16
2022-09-13,40,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,40,28,17
2022-09-14,43,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,43,30,28
2022-09-15,41,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,41,40,27
2022-09-16,46,PM2.5,Near Road,11-001-0051,AQS,9,46,46,35
2022-09-17,54,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,13,51,54,28
2022-09-18,49,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,49,42,26
2022-09-19,52,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,7,44,52,26
2022-09-20,45,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,45,44,33
2022-09-21,80,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,80,51,28
2022-09-22,35,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,35,34,20
2022-09-23,33,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,33,14,9
2022-09-24,34,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,34,24,24
2022-09-25,36,PM2.5,Near Road,11-001-0051,AQS,7,35,36,21
2022-09-26,31,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,31,25,23
2022-09-27,33,Ozone,RIVER TERRACE,11-001-0041,AQS,2,33,20,16
2022-09-28,23,Ozone,RIVER TERRACE,11-001-0041,AQS,3,23,22,17
2022-09-29,26,Ozone,RIVER TERRACE,11-001-0041,AQS,3,26,19,18
2022-09-30,26,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,3,15,26,19
2022-10-01,20,PM2.5,Near Road,11-001-0051,AirNow,3,16,20,NA
2022-10-02,19,Ozone,RIVER TERRACE,11-001-0041,AirNow,NA,19,16,NA
2022-10-03,21,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,21,13,NA
2022-10-04,26,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,26,13,NA
2022-10-05,24,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,24,18,NA
2022-10-06,43,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,43,37,NA
2022-10-07,49,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,49,40,NA
2022-10-08,23,Ozone,RIVER TERRACE,11-001-0041,AirNow,NA,23,22,NA
2022-10-09,38,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,33,38,NA
2022-10-10,43,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,40,43,NA
2022-10-11,41,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,41,40,NA
2022-10-12,44,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,40,44,NA
2022-10-13,30,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,27,30,NA
2022-10-14,35,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,32,35,NA
2022-10-15,55,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,36,55,NA
2022-10-16,52,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,32,52,NA
2022-10-17,38,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,27,38,NA
2022-10-18,22,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,22,18,NA
2022-10-19,20,Ozone,RIVER TERRACE,11-001-0041,AirNow,NA,20,15,NA
2022-10-20,27,Ozone,RIVER TERRACE,11-001-0041,AirNow,NA,27,25,NA
2022-10-21,44,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,34,44,NA
2022-10-22,60,PM2.5,Near Road,11-001-0051,AirNow,NA,41,60,NA
2022-10-23,48,PM2.5,Near Road,11-001-0051,AirNow,NA,31,48,NA
2022-10-24,33,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,19,33,NA
2022-10-25,52,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,12,52,NA
2022-10-26,31,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,21,31,NA
2022-10-27,27,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,27,14,NA
2022-10-28,26,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,18,26,NA
2022-10-29,42,PM2.5,Near Road,11-001-0051,AirNow,NA,29,42,NA
2022-10-30,55,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,31,55,NA
2022-10-31,51,PM2.5,Near Road,11-001-0051,AirNow,NA,20,51,NA
2022-11-01,40,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,29,40,NA
2022-11-02,51,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,33,51,NA
2022-11-03,53,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,31,53,NA
2022-11-04,49,PM2.5,King Greenleaf Rec Center,11-001-0053,AirNow,NA,21,49,NA
2022-11-05,36,PM2.5,King Greenleaf Rec Center,11-001-0053,AirNow,NA,30,36,NA
2022-11-06,39,PM2.5,King Greenleaf Rec Center,11-001-0053,AirNow,NA,24,39,NA
2022-11-07,40,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,40,30,NA
2022-11-08,26,Ozone,RIVER TERRACE,11-001-0041,AirNow,NA,26,21,NA
2022-11-09,28,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,26,28,NA
2022-11-10,40,PM2.5,King Greenleaf Rec Center,11-001-0053,AirNow,NA,24,40,NA
2022-11-11,35,PM2.5,King Greenleaf Rec Center,11-001-0053,AirNow,NA,19,35,NA
2022-11-12,41,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,32,41,NA
2022-11-13,20,Ozone,RIVER TERRACE,11-001-0041,AirNow,NA,20,15,NA
2022-11-14,29,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,29,25,NA
2022-11-15,45,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,9,45,NA
2022-11-16,34,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,22,34,NA
2022-11-17,38,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,23,38,NA
2022-11-18,38,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,27,38,NA
2022-11-19,42,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,26,42,NA
2022-11-20,31,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,29,31,NA
2022-11-21,37,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,25,37,NA
2022-11-22,43,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,24,43,NA
2022-11-23,58,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,31,58,NA
2022-11-24,69,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,31,69,NA
2022-11-25,39,PM2.5,King Greenleaf Rec Center,11-001-0053,AirNow,NA,29,39,NA
2022-11-26,35,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,28,35,NA
2022-11-27,43,PM2.5,King Greenleaf Rec Center,11-001-0053,AirNow,NA,21,43,NA
2022-11-28,27,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,27,18,NA
2022-11-29,35,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,19,35,NA
2022-11-30,26,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,26,20,NA
2022-12-01,23,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,19,23,NA
2022-12-02,38,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,19,38,NA
2022-12-03,29,PM2.5,King Greenleaf Rec Center,11-001-0053,AirNow,NA,23,29,NA
2022-12-04,36,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,21,36,NA
2022-12-05,58,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,19,58,NA
2022-12-06,54,PM2.5,King Greenleaf Rec Center,11-001-0053,AirNow,NA,10,54,NA
2022-12-07,46,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,7,46,NA
2022-12-08,27,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,23,27,NA
2022-12-09,30,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,20,30,NA
2022-12-10,44,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,17,44,NA
2022-12-11,38,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,16,38,NA
2022-12-12,26,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,21,26,NA
2022-12-13,29,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,26,29,NA
2022-12-14,46,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,20,46,NA
2022-12-15,26,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,19,26,NA
2022-12-16,20,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,20,19,NA
2022-12-17,26,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,26,23,NA
2022-12-18,23,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,21,23,NA
2022-12-19,25,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,20,25,NA
2022-12-20,39,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,17,39,NA
2022-12-21,52,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,12,52,NA
2022-12-22,39,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,26,39,NA
2022-12-23,25,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,NA,25,13,NA
2022-12-24,22,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,21,22,NA
2022-12-25,47,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,25,47,NA
2022-12-26,33,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,24,33,NA
2022-12-27,44,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,25,44,NA
2022-12-28,59,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,21,59,NA
2022-12-29,71,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,19,71,NA
2022-12-30,63,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,23,63,NA
2022-12-31,50,PM2.5,RIVER TERRACE,11-001-0041,AirNow,NA,14,50,NA
